Title,Instructor,Keywords,Learn,Description,course_id
Pro Data Structure and Algorithms,,Pro Data Structure and Algorithms,"DSA Theoritical Test, DSA  Practical Test",This course is designed mostly for Data Structure and Algorithms test takers.,80
Pro Java Programming Language,,Pro Java Programming Language,"Java Theoritical Test, Java  Practical Test",This course is designed mostly for Java test takers.,81
Pro JavaScript Programming Language,,Pro JavaScript Programming Language,"JavaScript Theoritical Test, JavaScript  Practical Test",This course is designed mostly for JavaScript test takers.,82
Pro Operating Systems,,Pro Operating Systems,"OS Theoritical Test, OS Practical Test",This course is designed mostly for computer science subject OPERATING SYSTEM  test takers.,83
Pro Python Programming Language,,Pro+ Python Programming Language,"Python Theoritical Test, Python Practical Test",This course is designed mostly for Python Coding  test takers.,84
Python Coding Interview Preparation,,Python Coding Interview Preparation,"Python Theoretical Test, Python Practical Test",This course is designed mostly for Python Coding  test takers.,85
Aptitude Test Series,,Aptitude Test Series,"Aptitude, Time, Distance & Speed, Time & Work, Simple & Compond Interest, Profit, Loss & Discount, Problems on Ages, Permutuation & Combination, Percentages, Partnership, Numbers, HCF & LCM, Numbers & Letter Sries, Logical Deduction, Equation & Ratios, Direction Sense, Coding & Decoding, Clocks, Calendars, Blood Relations, Averages, Mixtures & Allegation, Analytical Reasoning",This course is designed mostly for Aptitude test takers.,86
Mastering DSA with Python,Hitesh Choudhary,Mastering DSA with Python,"Problem Solving, Data Structure Introduction, Recursion in depth, Linked List in depth, Circular Linked List in Depth, Doubly Linked List in Depth, Stack and Queue, Binary Search Tree, Hashing, AVL Tree, HEAP, Sorting algorithms","This Python course on Data Structures and Algorithms covers data structures such as linked lists, stacks and queues, binary search trees, heaps, searching, and hashing. This course covers a variety of sorting algorithms, as well as their implementation and analysis. The following topics are covered with Python implementation in this Data Structures in Python course. Analysis of Algorithms, Big O notation, Time Complexity, Singly Linked List, Doubly linked list, Trees, Heaps, Hashing and Sorting algorithms.",87
Mastering DSA with Java,Hitesh Choudhary,Mastering DSA with Java,"Problem Solving, Time-based DSA, Big O notation, Time and space complexity, Recursion, Power program theory, Combination theory, Stacks,queues,linked lists,trees, Searching, sorting, hashing","This course has been designed to help you become a complete and professional Java developer at the conclusion of the course, rather than only teaching essential Java skills.. After completing this course, you will have a thorough understanding of various Data Structures and Algorithms in Java which will further enhance your career as a java developer.",88
Mastering DSA with C++,Hitesh Choudhary,Mastering DSA with C++,"C++ programming basics, C++ data types, C++ data structures, Input/Output in C++, Control Flow in C++, Loops, Functions, OOP in C++, Memory management, Macros","For performance-critical applications that need speed and effective memory management, C++ is an important programming language. It's employed in a variety of fields such as software and game development, virtual reality, robotics, and scientific computing. In this course you will learn the fundamentals of C++ with various data structures and algorithms.",89
Android P with Machine Learning Apps,Hitesh Choudhary,Android P with Machine Learning Apps,"Android Studio fundamentals, Theme customization, Buttons and toasts, Fully customized Gradles, Android elements and components, SQLite database, JSON and APIs, Firebase, Machine Learning in Android, Various projects","Learning Android Development with Machine Learning will look great on any Android developer's CV. Machine Learning is a kind of Artificial Intelligence (AI) that allows software to learn, explore, and predict outcomes without the need for human intervention. Machine learning has been employed in a variety of industries, and it is currently being actively used to the creation of mobile applications. Machine learning algorithms can analyse specific user activity patterns and respond to search queries with ideas and recommendations. This course will teach you how to use Android with Machine Learning .",90
Full Stack Django Developer,Hitesh Choudhary,Full Stack Django Developer,"Webpages in Django, Admin control, Sliders, Search feilds, Navbars, Components, User authentication, Facebook and Google authentication, Django message frameworks, Django contact forms","The most widely used Python web development framework is Django. Django is a Python framework that covers all elements of web development, from handling requests and answers to creating dynamic HTML pages using templates and making database access and maintenance simple. This course has it all baked in, and it's all covered in excellent depth. Django is taught from the ground up in this course. We'll start from the beginning and work our way up, learning how to construct Django projects, execute them, and add functionality step by step.",91
Full Stack Django and React,Hitesh Choudhary,"Full Stack Django and React Course, Full Stack React Course","Django and Django REST framework, Django tour - quick, Django admin and migration, Storing our images in django, Setting Django API structure, Handling API root route in django, Image serialization and product views in django, Setting up URL for products in Django, Custom User serlization in Django, Generating the token in django, Custom user signin in Django, Creating base component, Bring in card component, Pulling up text info from backend, Conditional rendering of button","Dull Stack Django React Certification course makes it simple to create dynamic and interactive online apps by providing elegant answers to some of front-end programming's most vexing problems. It is quick, scalable, adaptable, and powerful, and it has a thriving development community that is expanding quickly. The time is now to become familiar with React. The Full Stack Django and React Courses are designed to equip students with the necessary skills and knowledge to develop modern web applications using the Django and React frameworks. This course will cover the essential concepts of both frameworks and provide hands-on training for building full-stack web applications. The course will begin with an introduction to Django, covering topics such as models, views, templates, forms, and authentication. Students will learn to build a fully functional backend using Django, including integrating third-party apps and APIs.Students will work on multiple projects throughout the course such as Django and Django REST framework, Django tour - quick, Django admin and migration, Storing our images in Django, Setting Django API structure, Handling API root route in Django, building full-stack web applications that integrate Django and React. By the end of the course, students will have a solid understanding of both frameworks and be able to develop and deploy their web applications.",92
Full Stack Django with React,Hitesh Choudhary,Full Stack Django with React,"Django and Django REST framework, Django tour - quick, Django admin and migration, Storing our images in django, Setting Django API structure, Handling API root route in django, Image serialization and product views in django, Setting up URL for products in Django, Custom User serlization in Django, Generating the token in django, Custom user signin in Django, Creating base component, Bring in card component, Pulling up text info from backend, Conditional rendering of button","ReactJS makes it simple to create dynamic and interactive online apps by providing elegant answers to some of front-end programming's most vexing problems. It is quick, scalable, adaptable, and powerful, and it has a thriving development community that is expanding quickly. The time is now to become familiar with React.",93
Complete Front End Web Developer Bootcamp,Hitesh Choudhary,Complete Front End Web Developer Bootcamp,"Introduction, getting the dev tools and basics of HTML, Div, tables and Forms with Challenge to create FB page, HTML 5 semantics and adding audio, video and YouTube to web, CSS-Box model, color selection, Google Fonts, Web development projects - GYM and Sushi Restro Templates, CSS - classes, ID's, parallax and project to edit template, CSS - box sizing, gradients and TODO list project, Getting started with Bootstrap - Tour and creating landing page, Project - Pokemon Corporate site, yahoo selling page and Adm, Javascript projects to practice, Moving on to learn Jquery - Selectors and event, Actions in Jquery - fading, animations and callback function, Projects in Jquery and using JS plugins",This course will help you to grab the fundamentals of Front End technologies used in Web development and implement them using various projects.,94
Complete Backend Development with Nodejs,Hitesh Choudhary,"Complete Backend Development with Nodejs, Nodejs Development course, Nodejs Developer Course","Javascript, ES6, Web servers, Express Js, Body parsers, Middlewares, View Engines, Multer, Passport JS, Big Stack, MongoDB integration with Node JS","This  Backend Development with Nodejs course is designed to give students a comprehensive understanding of backend development using Nodejs. Nodejs is a powerful, versatile runtime environment allowing developers to build highly scalable and efficient web applications. In this course, students will learn the fundamentals of Nodejs and how it can be used for backend development. Topics covered in the course include creating and managing web servers, Javascript, ES6, Web servers, Express Js, Body parsers, Middlewares, View Engines, Multer, Passport JS, Big Stack, MongoDB integration with Node JS, and deploying Nodejs applications to production environments. The course will also cover popular Nodejs frameworks and libraries such as Express, MongoDB, Mongoose, and Socket. IO. By the end of the course, students will have a solid understanding of how to build scalable and robust backend systems using Nodejs.",95
Backend Development with Django-8 Projects,Hitesh Choudhary,Backend Development with Django-8 Projects,"Webpages in Django, Admin control, Sliders, Search feilds, Navbars, Components, User authentication, Facebook and Google authentication, Django message frameworks, Django contact forms","The most widely used Python web development framework is Django. Django is a Python framework that covers all elements of web development, from handling requests and answers to creating dynamic HTML pages using templates and making database access and maintenance simple. This course has it all baked in, and it's all covered in excellent depth. Django is taught from the ground up in this course. We'll start from the beginning and work our way up, learning how to construct Django projects, execute them, and add functionality step by step.",96
Java Bootcamp for Beginners,Hitesh Choudhary,Java Bootcamp for Beginners,"Java data types and variables, Java operations and conditionals, Arrays, Object-Oriented java, Searching and Sorting, Linked Lists, Various java projects","This course has been designed to help you become a complete and professional Java engineer at the conclusion of the course, rather than only teaching essential Java skills. To guarantee that you grasp the Java language, the course has been designed to be very thorough, covering the majority of Java language features and explaining them in great detail. Tons of best practises and design ideas are described and illustrated in code to guarantee you are industry-ready and can create well-designed, professional code.",97
Complete Flutter Course - iOS Android Apps,Hitesh Choudhary,Complete Flutter Course - iOS Android Apps,"Stateless widgets, Stateful widgets, Background changers, Randomization, Camera and gestures, API handling, SQLite, Firebase, BLOC in flutter","Learn how to use Flutter, Google's latest mobile framework, to develop quick and beautiful mobile apps. With no prior expertise, you will rapidly learn how to construct any application with Flutter in this course. upon successful completion of this course, you will be able to create interactive and responsive applications using the flutter development kit.",98
Dart Language,Hitesh Choudhary,Dart Language,"Dart fundamentals, Data types in Dart, Arrays, Maps, Constants, Operators, Conditionals, Functions, Object Oriented Programming in Dart, Asynchronous subroutines","Learn how to write Dart programmes from the ground up. This course is designed for those who have never programmed before. Dart is a strong and expressive language with a simple learning curve. This makes it an excellent first language. Dart provides a client-optimized language, rich and powerful frameworks, and flexible tools to help you create attractive, high-quality experiences across all screens.",99
Complete ReactJs Developer Bootcamp,Hitesh Choudhary,Complete ReactJs Developer Bootcamp,"React templates, React states, React hooks, React context API, Firebase integration, Redux Apps","This course will teach you React.js in a hands-on manner, utilising all of the most up-to-date patterns and best practises. To become a React.js developer, you will master all of the foundations as well as advanced ideas and associated subjects. This course will provide you with a wealth of essential material and expertise, whether you are new to React or have some basic React experience.",100
Complete Bootstrap4 - Build 5 Projects,Hitesh Choudhary,Complete Bootstrap4 - Build 5 Projects,"Bootstrap Integration and typography, Buttons, breakpoints and utilities, Team pages, Navbars, Flexboxes, Forms, Modals, Custom cards","This course will take you from having no prior knowledge of Bootstrap to mastering all of the utilities, components, widgets, and grids, as well as designing real-world themes and websites. This project oriented course does not need prior knowledge of Bootstrap .Upon successful completion of this course, you will be able to build responsive and interactive websites and beautiful static pages using the bootstrap framework. So hurry up and enroll now to start a successful career as a front-end  web developer.",101
Android Chatapp with FireBase,Hitesh Choudhary,Android Chatapp with FireBase,"Screen Designing, Firebase data authentication, Email and password validation, Kill switch, Chat activity layout, Custom adapters for chat applications, Firebase event listeners, Debugging, Handling Gradles, Phone verification integration","If you are an Android developer, but you have not yet created an Android chat app, then you're losing out on the actual excitement of development. Real-time messaging, which is at the heart of every real-time application, is another feature of chat applications. You may have seen and used a variety of different Android chat applications and longed to have your own.  Take a closer look at how Firebase is used to develop an excellent full-stack Android chat app. This course will walk you through the whole process of creating a feature-rich Android chat app.",102
C++ Bootcamp for Beginners,Hitesh Choudhary,C++ Bootcamp for Beginners,"Introduction to CPP, Getting Started with CPP, Basics but indepth of CPP, Functions in CPP, Object Oriented Programming, Smart Pointers in CPP","Ultimate modern C++ Bootcamp. A modern approach to understand C++. By mastering the fundamentals of the language, you can start writing C++ programmes right away. Additionally, you will hear several methods and viewpoints on using C++ professionally.",103
Complete Angular Developer Bootcamp,Hitesh Choudhary,Complete Angular Developer Bootcamp,"Getting started with angular, TypeScript that you need for Angular, Let's Build counter, Core foundation of angular apps, Generator - user input, Game- passing info to parent, RxJs fundamentals, Project:- Form service and pipe in angular project, Project :- SignUp reactive form in Angualar, Project:- Web request and API in Angular, Project:- Fire base login and github searcher","Our Complete Angular Developer Bootcamp is the ideal course for those looking to learn AngularJS, one of the most widely used SPA frameworks available today. This course will teach you how to develop front-end applications faster and with less code, making them more robust, manageable, and testable. AngularJS is a valuable skill to have as it was created and is supported by Google.

This course covers the basics of Angular, TypeScript needed for Angular, and creating a counter app. More advanced topics include generators for user input, RxJs fundamentals, and working with web requests and APIs. Hands-on projects include creating a form service and pipe in Angular, building a reactive sign-up form, and integrating Firebase login and a GitHub searcher.

Enrollment only requires a system with an internet connection, interest in learning, and dedication. Our course provides all the necessary tools and information for success. By completing the Complete Angular Developer Bootcamp, you will have the skills and expertise to develop robust and scalable applications using Angular. Don't miss out on this opportunity to advance your career in web development. Enroll today!",104
Mysql Bootcamp for Beginners,Hitesh Choudhary,Mysql Bootcamp for Beginners,"MySQL tables, Primary keys and foreign keys, CRUD operations, SQL queries, Joins, ACID in database, Database engines","Data practitioners must master SQL since it is the most essential query language you can learn. Many prominent relational database management systems such as MySQL employ it. However, data analysis and big data frameworks and tools such as Apache Spark also utilise it. As a result, learning MySQL offers up a plethora of prospects and occupations - whether you want to work with relational databases or become a data scientist, knowing Mysql is essential. Even if you have no previous experience of MySQL, this practical course will build the groundwork for SQL and structured database querying.",105
Crack the Tech Interviews,Hitesh Choudhary,Crack the Tech Interviews,"Non Tech Round Preparation, Array interview problems and solutions, String interview problems and solutions, Recursion interview problems and solutions, Linked list interview problems and solutions, Math interview problems and solutions, Stack and Queue interview problems and solutions, Sorting interview problems and solutions, Trees interview problems and solutions, Graphs interview problems and solutions, Dynamic programming interview problems and solutions","In this course, you'll learn how to solve complex programming puzzles and implement various algorithms that you'll encounter in coding interviews. You'll explore arrays, strings, recursion, linked lists, math, stack and queue, sorting, trees, graphs, and dynamic programming. For each topic, you'll explore common interview problems and solutions and learn how to craft code that will impress your interviewer.

To get the most out of this course, you'll need a system with an internet connection, a passion for learning, and dedication to mastering algorithmic programming. We'll start with preparing for the interview, including non-tech round preparation techniques to give you an edge in your job search. You'll then explore array interview problems, including binary search, rotation of arrays, and finding triplets. You'll learn string interview problems such as word in a sentence, duplicates, and longest substring. Recursion interview problems will include Fibonacci, popular subset problems, and decimal to binary conversion. By the end of this course, you'll have mastered various algorithms and programming techniques and be fully prepared for your next coding interview.",106
Complete React Native Mobile App Developer,Hitesh Choudhary,Complete React Native Mobile App Developer,"React elements, React styles, Touchable and props, Handling images in React, Handling sound in React, Handling multiple users, Camera integration, Redux","There is no need to learn Java, Android Development, Swift programming, or anything else, all you need is React and JavaScript to build great native mobile applications including both Android and iOS. This is undoubtedly why Instagram, Uber, Skype, and plenty of other major brands use it to create mobile applications. You may join this league if you complete this course. You'll learn all there is to know about React Native's philosophy and fundamental principles, as well as how to create responsive designs that function on a variety of device sizes, how to navigate, and much more.",107
Complete VueJS Development,Hitesh Choudhary,Complete VueJS Development,"VueJs project structure, VueJs data types and methods, Passing data to props, Adding editable forms in todo, Passing methods in vueJs","VueJS is the shooting star in the world of JavaScript frameworks, regardless of whatever measure you choose (Google Trends, Tweets, etc.). This course covers the most recent version of Vue in great depth and from the ground up. In this course, we will go over all of the fundamentals of VueJs. Vue JS and other frontend frameworks are incredibly popular because they provide the same dynamic, fantastic user experience that we have come to expect from mobile applications - but now in the browsers as well.  And it is no surprise that positions requiring frontend framework expertise such as VueJS are among the highest-paying in the business!",108
The Pro Backend Developer,Hitesh Choudhary,The Pro Backend Developer,"MongoDB, Heroku Cloud, Swagger, Authentication, File,image and form handling, MORGAN and razorpay, Configs and imports, Controllers and routes","This course is tiled pro for a reason. In this practical hands-on course, you will learn how to build complex backend applications that can be used for any web or mobile application. Your REST API will be in production with docs, social logins, images, authentications, mail and, much more. This is a true pro backend course.",109
AWS Architect for the Real World,Hitesh Choudhary,AWS Architect for the Real World,"AWS fundamentals, S3 buckets, Lambda functions, SES, API gateways, Load balancing, Migration, Container services, AWS serverless","This Amazon AWS course will take you from AWS fundamentals to being a professional AWS cloud practitioner. From foundations to advanced topics, you will master general cloud computing principles and AWS. There are many hands-on activities that you may do with an Amazon Web Services (AWS) free tier account to gain expertise.  This is the greatest approach to get started if you want to get into a high-paying profession working with cloud computing services. You'll go from beginning to advanced ideas, with lots of opportunity to put what you've learned into practise.",110
HTML and CSS for Web Development,Hitesh Choudhary,HTML and CSS for Web Development,"HTML and DOM, We do  not write without emmet, Starting with CSS, Mobile responsive webpages, CSS animation and libraries, Flexbox in CSS",This course will help you to grab the fundamentals of HTML and CSS for web development.,111
JavaScript Fundamentals,Hitesh Choudhary,JavaScript,"Basics of JavaScript, What are JavaScript engines, Objects in JavaScript, Methods and objects in JavaScript, What is DOM?, New keyword in JavaScript, What is proto in JavaScript, How to Handle API in JavaScript",This course will help you to grab the fundamentals of JavaScript for web development.,112
HTML and CSS,Hitesh Choudhary,HTML and CSS,"HTML and DOM, We do  not write without emmet, Starting with CSS, Mobile responsive webpages, CSS animation and libraries, Flexbox in CSS",This course will help you to grab the fundamentals of HTML and CSS for web development.,113
Ethical Hacking & Penetration Testing,,Ethical Hacking & Penetration Testing,"Introduction to the world of Security Audits and Ethical Hacking, Setting up your own pentesting lab, Getting friendly with Linux and security related commands, Maintaining anonymity, Information Gathering with Kali & Web apps, Introduction to web pentesting and dvwa testing environment, Command Injection (Low-Medium-High), Mitigation and Incident Case Study, Cookie manipulating and insecure session management, Burpsuite complete training with fundamentals, File upload vulnerability, SQL Injection, Boolean Injection & automation with SQL Injection","Ethical hacking is a topic that has grown increasingly essential in today's world, and it can assist individuals and companies in adopting safe IT practices and usage. This ethical hacking course will teach you those skills as well as prepare you for associated certification examinations, allowing you to demonstrate your competence.",114
Crack the Tech Interview,Hitesh Choudhary,Crack the Tech Interview,"Non Tech Round Preparation, Array interview problems and solutions, String interview problems and solutions, Recursion interview problems and solutions, Linked list interview problems and solutions, Math interview problems and solutions, Stack and Queue interview problems and solutions, Sorting interview problems and solutions, Trees interview problems and solutions, Graphs interview problems and solutions, Dynamic programming interview problems and solutions","Algorithmic programming techniques are a must-have skill. Learn Algorithms through programming and puzzle solving to advance your Software Engineering or Data Science career. Then, implement each algorithmic problem in this program to ace coding interviews.",115
Write quicker HTML5 and CSS 3; productivity hacks with emmet4,Hitesh Choudhary,Write quicker HTML5 and CSS 3; productivity hacks with emmet4,"Getting started with emmet, Ememet and speedy html, Parent child and grouping, emmet in css, An old style blog, Why DOM is important, Inline vs Block and bring in images, Lists and interlinking pages, Getting a video on service page, 3 Plans in a table, GET and POST forms, Types of input forms, Secret to learn CSS",This course will help you to grab the fundamentals of emmet when using HTML5 and CSS3.,116
The Complete Front End Web Developer Bootcamp,Hitesh Choudhary,"The Complete Front-End Web Developer Bootcamp, Front End Web Developer course, Front End Web Development Certification course, Web Development Course Online, Front End Web Development Training ","Introduction, getting the dev tools and basics of HTML, Div, tables and Forms with Challenge to create FB page, HTML 5 semantics and adding audio, video and YouTube to web, CSS-Box model, color selection, Google Fonts, Web development projects - GYM and Sushi Restro Templates, CSS - classes, ID's, parallax and project to edit template, CSS - box sizing, gradients and TODO list project, Getting started with Bootstrap - Tour and creating landing page, Project - Pokemon Corporate site, yahoo selling page and Adm, Javascript projects to practice, Moving on to learn Jquery - Selectors and event, Actions in Jquery - fading, animations and callback function, Projects in Jquery and using JS plugins","This Complete Front End Web Developer Bootcamp course will help you to grab the fundamentals of Front End technologies used in Web development and implement them using various projects. The course will provide you with a complete front-end experience in web development. You will get to learn everything about the Front End Developer. This course is designed to give you a proper understanding of the basics of HTML. From the basis of HTML to the final project of Front-End web development including CSS and Javascript, this course has everything for you. The course features include the complete course material, recorded videos, practice quizzes, and practical exercises.",117
Machine Learning and Data Science Bootcamp,Hitesh Choudhary,"Machine Learning and Data Science Bootcamp, Data Science with Machine Learning, Machine learning course Online","Getting started with Machine Learning, Installation for Windows and MAC, Python Quick Refresher, Mastering NUMPY Library, Mastering PANDAS Library, Mastering MATPLOTLIB Library, Mastering SEABORN Library, Multi index Matrix, Portfolio Project - Classic 911 analysis, Data preprocessing for Machine Learning, Supervised, Unsupervised and Reinforcement Learning, Linear regression algorithm, Portfolio Project - Housing dataset analysis, Decision Tree Regression Algorithm, K-Nearest Neighbors Algorithm, Support Vector Machine Classifier, Naïve Bayes Algorithm, Neural Network and Deep Learning","This is a data science detailed course where you will learn all the stack required to work in data science, data analytics, and the big data industry. The Machine Learning and Data Science Bootcamp course covers all the essential concepts, tools, and techniques of machine learning and data science. The course starts with an introduction to machine learning, data science, and the basics of Python programming language. This course teaches you how to handle missing data, outliers, and scale data for better performance. It is designed for beginners who want to learn machine learning and data science from scratch and for professionals who want to enhance their skills in these domains. The course program also covers machine learning algorithms such as linear regression, logistic regression, decision trees, random forests, support vector machines, and clustering algorithms.",118
Publishing Custom Cocoapads,Hitesh Choudhary,Publishing Custom Cocoapads,"How to publish your own cocoapods, Installing cocoapods, Creating and exploring cocoapods to be published, Editing podsec and github push, Writing custom function for cocoapods, Writing a test case for cocoapods, Finally 2C lets push our first cocoapod",This course will help you to publish custom Cocoapads.,119
Build an Ecommerce with ReactJS,Hitesh Choudhary,Build an Ecommerce with ReactJS,"Design a complete E commerce modern website, Goal of this project and prerequisite, Basic navbar finished, Design myToggler button, Menu links from state of react, Reading contentful docs, adding data in contentful, Environment variables in react, Graphql query on contentful, How to push react project to github, How to deploy website to netlify, How to add web hooks in netlify",This course will help you to grab the implementation of React to build an ecommerce site.,120
Python3 Scratch To Pro,Hitesh Choudhary,Python3 Scratch To Pro,"Introduction and installation of python, First interaction with python basics, Conditionals and loops, Detail analysis of data types, Functions Files and Exceptions, Python challenges for fun, Object Oriented programming in python, Database TODO App, Advance side of python, Handling API in Python",This course will help you to grab the fundamentals of Python3 and implement in real life to solve problems.,121
ReactJS Crash Course,Hitesh Choudhary,ReactJS Crash Course,"React templates, React states, React hooks, React context API, Firebase integration, Redux Apps",This course will help you to grab the fundamentals of ReactJS.,122
Angular Crash Course,Hitesh Choudhary,"Angular Crash Course, Angular Live Training, Angular certification Course, Angular Course Online ",Angular crash course,"Angular Crash Course is a popular web application development framework maintained by Google. This crash course is designed to introduce Angular and equip learners with the foundational knowledge required to build web applications with the framework. The Angular certification course will start by covering the basics of Angular architecture, including components, modules, services, and directives. Participants will learn how to create reusable components, implement data binding and handle user events. The course will also cover using Angular to handle forms, perform HTTP requests, and navigate between different views in a single-page application. The Angular JS course will consist of a mix of theoretical and practical sessions. Participants will be provided with coding exercises and projects to complete to reinforce their learning. By the end of the course, learners will have built a functioning web application using Angular.",123
Python Crash Course by Hitesh,Hitesh Choudhary,Python Crash Course by Hitesh,Python crash course,This course will help you to grab the fundamentals of Python.,124
Stripe with React and Node Crash Course,Hitesh Choudhary,Stripe with React and Node Crash Course,Stripe with React and Node,This course will help you to grab the implementation of Stripe with React and Node.,125
Materialize CSS Crash Course,Hitesh Choudhary,Materialize CSS Crash Course,"Materialize CSS, A tour of materialize css components, Creating a model in materialize css, Adding mobile friendly navbar in materialize css, Add materialize slider in website, Understand the grid in materialize, Materialize cards in website, Parallax in material css, Advance carousal and card panels, Footer and assignment in materialize CSS",This course will help you to grab the fundamentals of Materialize CSS.,126
VueJS Crash Course,Hitesh Choudhary,VueJS Crash Course,"What is VueJS, VueJS project structure, Adding data and methods, Passing data to prop in Vue, Adding editable form in todo, Passing methods in Vue, Adding info to list",This course will help you to grab the fundamentals of VueJs.,127
Graph QL Crash Course,Hitesh Choudhary,Graph QL Crash Course,Graph QL,This course will help you to grab the fundamentals of GraphQL.,128
AWS Serverless,Hitesh Choudhary,AWS Serverless,"Getting started with AWS serverless, A common warning for AWS, Route 53, Get Started with S3 bucket, Struggle of web page hosting, Hosting with policies, GET vs POST and handling response, Your first lambda in AWS, Lambda permission and cloud watch, Introducing API gateway, Lambda for POST information, Post Data and CORS error, First look at SES, New user for SES and lambda, Sending email from SES and lambda",This course will help you to grab the fundamentals of AWS Serverless.,129
Fastify Crash Course,Hitesh Choudhary,Fastify Crash Course,"Getting fastify up and running, Model the course using mongoose, Handing controllers in fastify, Handling routes in fastify",This course will help you to grab the fundamentals of Fastify.,130
Socket io Crash Course,Hitesh Choudhary,Socket io Crash Course,Socket IO,This course will help you to grab the fundamentals of socket.io .,131
NextJS Full stack crash course,Hitesh Choudhary,NextJS Full stack crash course,"Nextjs full stack application, Creating models in Nextjs, Connecting to database in nextjs, Create REST API in nextjs part 1, Create REST API in nextjs part 2, Testing REST API in nextjs, Global layouts in nextjs, Server side rendering SSR in nextjs, Create a new hero in nextjs, Routing and SSR in nextjs, Edit a superhero in nextjs",This course will help you to grab the fundamentals of NextJs.,132
DSA for FAANG preparation with Python and JavaScript,Priya Bhatia,DSA for FAANG preparation with Python and JavaScript,"Analysis in Algorithms, Data Structure Introduction, Array Data Structure, Interview Question on array, Recursion in depth, Divide and Conquer algorithm, Applications of Divide and Conquer, Linked List Data Structure, Interview Question on Linked List, Circular Linked List, Doubly Linked List, Skip List, Stack and Queue, Interview Question on Stack and Queue, Hashing Data Structure, Collision Resolution Techniques, Tree Data Structure, Tree Traversal , Binary Search Tree, Height Balanced Tree: AVL Tree",A comprehensive chase to excel any intreview for the Data Structures and Algorithms. This course has been specifically designed to provide resources that would assist you in cracking problem-solving interviews. The presented problems in the course would suffice to look on to positive outcomes in the interviews.,133
DP 900 Microsoft Azure Data Fundamentals,,DP-900: Microsoft Azure Data Fundamentals,"Data Concepts, Azure Synapse and Data Lake, Account Storage, Power BI, Relational Databases, MS SQL SERVER, Database Security, Azure Tables Cosmos DB, Hadoop Systems, Azure and Databricks, ELT and SQL Tools, Demos","To get ready for other Azure role-based certifications like Azure Database Administrator Associate or Azure Data Engineer Associate, take the DP-900: Azure Data Fundamentals exam. Candidates who are just starting to work with cloud data are the target audience for this exam.
The DP-900 Microsoft Azure Data Fundamentals course is ideal for beginners who want to work with cloud data and obtain certification in Azure Data Fundamentals. The course covers a range of topics, including data concepts, relational databases, and various Azure services such as Azure Synapse and Data Lake, Account Storage, Power BI, MS SQL Server, Azure Tables Cosmos DB, Hadoop Systems, Azure, and Databricks. Additionally, the course covers database security, ELT, and SQL tools, and provides demos to help students understand the services and tools. To enroll in this course, you need an internet-connected system, an interest in learning, and dedication. By the end of the course, students will have the skills to apply their knowledge of Azure Data Fundamentals in real-world scenarios, making it an excellent foundation for Azure role-based certifications like Azure Database Administrator Associate or Azure Data Engineer Associate.",134
AWS Big Data Analytics,,AWS Big Data Analytics,"Introduction, Collection, Storage, Processing, Analysis, Visualization, Kinesis Scaling, SQS Overview, Direct Connect, S3 Overview, DynamoDB Overview, Lambda Overview, Hdfs vs S3","This course will help you to get started with the fundamentals of Big Data in AWS Cloud and using other services for data analysis. This AWS Big Data Analytics course covers the fundamentals of Big Data in the AWS Cloud, including data collection, storage, processing, analysis, and visualization. It includes an overview of services such as Kinesis, SQS, Direct Connect, S3, DynamoDB, Lambda, and EMR. The course also covers important topics such as the difference between Hdfs and S3, Spark basics, and Redshift architecture. This course is ideal for those who want to learn about Big Data and its implementation in AWS. To take this course, you need a system with internet connectivity, an interest in learning, and dedication. The course includes hands-on exercises, practical demonstrations, and case studies to help learners gain a deeper understanding of the concepts. After completing this course, learners will be able to use AWS services effectively for Big Data analytics.",135
Auto Sklearn and Auto TimeSeries,Rishav Dash,Auto Sklearn and Auto TimeSeries,"Auto Sklearn, Auto Timeseries",This course will help you to get started with the machine learning libraries auto sklearn and auto timeseries.,136
Blockchain Foundations,,Blockchain Community Class,"Introduction to blockchain, Ethereum and Solidity, Solidity, Create your Crytocurrency Project",Presenting the blockchain community session where students will learn the fundamentals of Blockchain Technology along with Solidity programming fundamentals with hands-on practical problems. Learners will learn to build their own cryptocurrency after completion of this community session,137
Angular JS Course,Hitesh Choudhary,Angular JS Course,"Getting started with angular, TypeScript that you need for Angular, Let's Build counter, Core foundation of angular apps, Generator - user input, Game- passing info to parent, RxJs fundamentals, Project:- Form service and pipe in angular project, Project :- SignUp reactive form in Angualar, Project:- Web request and API in Angular, Project:- Fire base login and github searcher",This course will help you to learn the fundamentals and the practical implementations of Angular JS.,138
Snowflake Advanced,,Snowflake Advanced,"Loading Data, Copy Options, Loading unstructured data, Performance optimization, Loading from AWS, Loading from Azure, Loading from GCP, Snowpipe, Time Travel, Fail Safe",This course will help you to learn the advanced concepts of Snowflake.,139
APIGEE,Khushali Shah,APIGEE,"Apigee Introduction, Apigee Findamentals, Working with APIGEE",This course will help you to learn the fundamentals of APIGEE.,140
Yolo X and Yolo R,Boktiar Ahmed Bappy,Yolo X and Yolo R,"YoloX, YoloR, Installation _ Setup, Get your custom data _ format it, Doing Annotation data, Handle your custom labels, Get pretrained weights",This course will help you to learn the practical implementations of YoloX & YoloR.,141
